"player_id","team_id","birth_date","country","height","weight","position","seasons_in_nba","jersey_num"
"2","1610612747","1961-03-28 00:00:00","USA","6-4",205,"Guard","14",NULL
"7","1610612743","1959-05-10 00:00:00","USA","6-11",260,"Center","18","24"
"9","1610612747","1961-09-10 00:00:00","USA","6-2",185,"Guard","14","2"
"15","1610612746","1970-09-30 00:00:00","USA","6-7",215,"Guard-Forward","15","52"
"17","1610612757","1962-06-22 00:00:00","USA","6-7",222,"Guard","15","22"
"21","1610612752","1967-11-15 00:00:00","USA","6-1",180,"Guard","11","50"
"22","1610612754","1966-08-23 00:00:00","USA","7-4",265,"Center","12","45"
"23","1610612765","1961-05-13 00:00:00","USA","6-7",210,"Forward","14","10"
"24","1610612744","1968-11-02 00:00:00","USA","5-7",160,"Guard","3","2"
"35","1610612745","1970-06-02 00:00:00","USA","7-0",245,"Center","4","44"
"36","1610612739","1964-06-13 00:00:00","Lithuania","6-5",200,"Guard","7","78"
"38","1610612749","1964-09-29 00:00:00","USA","6-11",230,"Forward-Center","10","54"
"41","1610612758","1968-06-08 00:00:00","USA","6-8",230,"Forward","7","33"
"42","1610612753","1971-10-08 00:00:00","USA","6-8",225,"Forward","10","5"
"43","1610612764","1971-10-05 00:00:00","USA","6-0",175,"Guard","12","12"
"45","1610612754","1967-05-27 00:00:00","USA","6-8",230,"Forward","13","21"
"46","1610612758","1970-10-15 00:00:00","USA","6-10",270,"Center","3","54"
"47","1610612758","1964-06-09 00:00:00","USA","6-9",260,"Forward","12","23"
"49","1610612764","1971-02-14 00:00:00","Romania","7-7",303,"Center","7","77"
"53","1610612745","1963-11-26 00:00:00","USA","6-5",225,"Guard-Forward","11","17"
"56","1610612760","1968-07-23 00:00:00","USA","6-4",190,"Guard","18","20"
"63","1610612758","1972-03-28 00:00:00","USA","6-8",240,"Forward","8","34"
"66","1610612750","1970-03-24 00:00:00","USA","6-8",230,"Forward","1","33"
"73","1610612739","1962-08-09 00:00:00","USA","6-11",245,"Center","13","18"
"74","1610612758","1972-07-31 00:00:00","USA","6-4",181,"Forward","1","5"
"77","1610612764","1969-08-03 00:00:00","USA","6-3",190,"Guard","12","24"
"81","1610612749","1965-12-17 00:00:00","USA","6-5",210,"Guard","9","20"
"84","1610612744","1970-09-08 00:00:00","USA","6-5",195,"Guard","14","8"
"87","1610612743","1966-06-25 00:00:00","Congo","7-2",260,"Center","19","55"
"89","1610612747","1971-11-27 00:00:00","USA","6-1",190,"Guard","13","31"
"93","1610612752","1970-05-17 00:00:00","USA","6-5",183,"Guard","13","44"
"95","1610612757","1965-04-25 00:00:00","USA","6-9",250,"Forward","16","9"
"96","1610612760","1963-01-21 00:00:00","USA","6-10",235,"Forward","16","12"
"97","1610612738","1964-07-09 00:00:00","USA","6-6",220,"Forward","4","20"
"98","1610612753","1968-01-20 00:00:00","USA","6-6",228,"Forward-Guard","14","5"
"101","1610612753","1964-03-05 00:00:00","USA","6-1",180,"Guard","10","5"
"105","1610612756","1965-09-09 00:00:00","USA","6-6",222,"Guard-Forward","14","9"
"109","1610612747","1970-08-25 00:00:00","USA","6-10",240,"Forward-Center","17","25"
"111","1610612743","1970-05-05 00:00:00","USA","6-8",240,"Forward","12","3"
"114","1610612748","1971-05-05 00:00:00","USA","6-5",210,"Guard","4","4"
"116","1610612744","1964-11-30 00:00:00","USA","6-9",230,"Forward","7","7"
"120","1610612737","1969-03-31 00:00:00","USA","6-8",221,"Guard-Forward","15","8"
"124","1610612747","1968-02-03 00:00:00","Serbia","7-1",260,"Center","17","21"
"128","1610612762","1968-05-09 00:00:00","USA","6-8",220,"Forward","7","21"
"132","1610612744","1971-08-10 00:00:00","USA","6-7",195,"Guard","1","50"
"133","1610612766","1970-11-14 00:00:00","USA","6-1",203,"Guard","15","4"
"134","1610612756","1966-03-04 00:00:00","USA","6-1",190,"Guard","12","7"
"136","1610612740","1969-10-14 00:00:00","USA","6-11",239,"Forward-Center","16","93"
"137","1610612745","1965-09-12 00:00:00","USA","6-4",190,"Guard","13","3"
"138","1610612749","1969-10-18 00:00:00","USA","6-9",240,"Center","6","30"
"140","1610612753","1966-05-22 00:00:00","USA","6-8",218,"Forward","8","5"
"143","1610612746","1971-09-12 00:00:00","USA","6-4",190,"Guard","6","24"
"146","1610612741","1968-06-19 00:00:00","USA","6-6",228,"Guard-Forward","12","30"
"147","1610612754","1973-01-30 00:00:00","USA","6-8",215,"Guard-Forward","14","8"
"149","1610612743","1963-01-19 00:00:00","USA","5-10",165,"Guard","11","23"
"157","1610612742","1961-10-13 00:00:00","USA","6-4",206,"Guard","16","12"
"164","1610612752","1967-11-20 00:00:00","USA","6-3",195,"Guard","9",NULL
"165","1610612745","1963-01-21 00:00:00","Nigeria","7-0",255,"Center","19","34"
"166","1610612741","1964-01-20 00:00:00","USA","6-6",215,"Guard","15","4"
"168","1610612739","1970-01-25 00:00:00","USA","6-7",220,"Forward","11","34"
"175","1610612749","1958-10-01 00:00:00","USA","7-0",245,"Center-Forward","16","53"
"176","1610612747","1970-07-06 00:00:00","USA","6-11",250,"Forward-Center","8","4"
"179","1610612743","1970-12-10 00:00:00","USA","6-5",210,"Guard","11","23"
"181","1610612745","1965-03-08 00:00:00","USA","6-3",170,"Guard","10","30"
"182","1610612744","1969-05-01 00:00:00","USA","6-9",225,"Forward-Guard","11","2"
"183","1610612743","1969-04-06 00:00:00","USA","6-11",260,"Center-Forward","8","8"
"189","1610612755","1971-04-30 00:00:00","USA","6-1",185,"Guard","1","1"
"190","1610612758","1968-05-31 00:00:00","USA","7-0",255,"Center","12",NULL
"192","1610612753","1968-09-05 00:00:00","USA","6-8",229,"Forward","10","9"
"193","1610612752","1966-12-14 00:00:00","USA","6-8",255,"Forward","14","17"
"197","1610612766","1971-01-12 00:00:00","USA","6-7",218,"Guard","8","2"
"198","1610612739","1966-10-17 00:00:00","USA","6-10",235,"Forward","14","35"
"203","1610612760","1964-08-03 00:00:00","USA","6-5",210,"Guard-Forward","12","10"
"209","1610612766","1964-06-25 00:00:00","USA","6-5",205,"Guard-Forward","16","30"
"210","1610612739","1970-05-20 00:00:00","USA","5-11",173,"Guard","12","7"
"216","1610612747","1966-03-22 00:00:00","USA","6-6",200,"Guard","15","20"
"221","1610612755","1970-09-08 00:00:00","USA","6-7",270,"Forward","14","30"
"224","1610612748","1971-10-20 00:00:00","USA","6-6",200,"Guard-Forward","15","6"
"228","1610612762","1970-02-22 00:00:00","USA","6-9",230,"Forward","9","32"
"236","1610612748","1965-10-30 00:00:00","USA","6-3",210,"Guard","11","21"
"241","1610612766","1971-11-03 00:00:00","USA","6-7",205,"Forward","3","35"
"243","1610612755","1972-10-02 00:00:00","USA","6-5",209,"Guard","14","2"
"246","1610612759","1964-06-22 00:00:00","USA","6-10",250,"Center-Forward","10","0"
"248","1610612740","1970-09-03 00:00:00","USA","6-8",235,"Forward","13","9"
"251","1610612759","1968-02-02 00:00:00","USA","6-8",220,"Forward","12","32"
"252","1610612762","1963-07-24 00:00:00","USA","6-9",259,"Forward","20","32"
"255","1610612765","1972-10-05 00:00:00","USA","6-8",225,"Forward","18","33"
"258","1610612748","1972-03-05 00:00:00","USA","6-9",254,"Forward-Center","13","55"
"265","1610612764","1965-07-04 00:00:00","USA","6-9",225,"Forward","11","44"
"271","1610612749","1963-11-28 00:00:00","USA","6-7",210,"Forward","16","2"
"273","1610612737","1965-02-28 00:00:00","USA","6-7",215,"Forward","11","33"
"278","1610612737","1968-08-01 00:00:00","USA","6-8",213,"Forward-Guard","16","2"
"279","1610612764","1957-04-03 00:00:00","USA","6-9",215,"Forward-Center","15","27"
"280","1610612750","1968-01-05 00:00:00","USA","7-0",290,"Center","12","50"
"285","1610612755","1966-08-29 00:00:00","USA","5-7",140,"Guard","6","9"
"287","1610612762","1966-05-27 00:00:00","USA","6-11",265,"Center","8","55"
"288","1610612751","1964-05-28 00:00:00","USA","6-9",260,"Forward","12","5"
"289","1610612764","1966-11-24 00:00:00","USA","6-5",231,"Guard","7","21"
"291","1610612738","1963-03-27 00:00:00","USA","6-9",240,"Forward","12","54"
"293","1610612746","1965-07-16 00:00:00","USA","6-10",244,"Forward","9","54"
"296","1610612747","1969-07-24 00:00:00","Canada","6-7",235,"Forward","14","17"
"297","1610612748","1970-02-08 00:00:00","USA","6-10",261,"Center","16","33"
