"player_id","season","wingspan","standing_reach","hand_width","hand_length","bench_press","standing_vertical_leap","three_quarter_sprint"
"199",2008,"81.25","103",NULL,NULL,"15","31.5","3.07"
"2198",2001,"85","108",NULL,NULL,"17","30","3.45"
"2199",2001,"87","110",NULL,NULL,"2","31","3.36"
"2201",2001,"90.5","111",NULL,NULL,"16","28","3.53"
"2202",2001,"83.5","102.5",NULL,NULL,"15","32.5","3.12"
"2203",2001,"82.5","105",NULL,NULL,"12","29.5","3.3"
"2204",2001,"87","110",NULL,NULL,"3","26.5","3.21"
"2205",2001,"90.5","113",NULL,NULL,"15","21.5","3.56"
"2206",2001,"83.5","104.5",NULL,NULL,"16","27.5","3.47"
"2207",2001,"81","105",NULL,NULL,"12","32.5","3.4"
"2210",2001,"84","103",NULL,NULL,"14","33","3.15"
"2211",2001,"83","105.5",NULL,NULL,"11","28.5","3.43"
"2212",2001,"88","108",NULL,NULL,"11","30.5","3.15"
"2213",2001,"84.25","106",NULL,NULL,"11","27","3.35"
"2214",2001,"85.5","107",NULL,NULL,"13","27","3.35"
"2215",2001,"88.5","110",NULL,NULL,"8","25.5","3.54"
"2217",2001,"90.5","113.5",NULL,NULL,"17","27","3.5"
"2218",2001,"78.5","100.5",NULL,NULL,"10","26.5","3.19"
"2219",2001,"82.5","103.5",NULL,NULL,"1","29","3.22"
"2220",2001,"81.5","99.5",NULL,NULL,"6","30","3.2"
"2224",2001,"79.5","97.5",NULL,NULL,"1","28","3.2"
"2226",2001,"81.5","99.5",NULL,NULL,"4","28.5","3.22"
"2228",2001,"82.5","102.5",NULL,NULL,"21","34.5","3.16"
"2230",2001,"80","101",NULL,NULL,"22","34.5","3.12"
"2239",2001,"80","99.5",NULL,NULL,"12","35.5","3.29"
"2240",2001,"81.5","99.5",NULL,NULL,"12","31.5","3.25"
"2241",2001,"77.5","92",NULL,NULL,"9","31","3.2"
"2243",2001,"81.75","105.5",NULL,NULL,"14","27","3.47"
"2245",2001,"83.75","104.5",NULL,NULL,"6","32","3.27"
"2248",2001,"78.75","97",NULL,NULL,"4","32.5","3.19"
"2249",2001,"80.75","102.5",NULL,NULL,"12","26","3.15"
"2250",2001,"84.25","105",NULL,NULL,"12","27.5","3.41"
"2253",2001,"81.25","101",NULL,NULL,"12","36","3.12"
"2254",2001,"89.5","113",NULL,NULL,"10","24.5","3.48"
"2256",2001,"88","109.5",NULL,NULL,"13","32.5","3.12"
"2257",2001,"88","111",NULL,NULL,"6","26.5","3.33"
"2260",2001,"87","104",NULL,NULL,"10","23","3.6"
"2294",2001,"79.5","97.5",NULL,NULL,"15","31.5","3.12"
"2369",2001,"76.5","99",NULL,NULL,"2","30.5","3.15"
"2730",2004,"88.5","111.5",NULL,NULL,"7","30.5","3.14"
