"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"2",1983,"1610612746",1,4,4
"3",1988,"1610612748",2,8,33
"7",1981,"1610612762",1,13,13
"9",1983,"1610612755",6,23,139
"12",1992,"1610612760",2,18,45
"15",1994,"1610612754",1,15,15
"17",1983,"1610612757",1,14,14
"21",1991,"1610612752",1,12,12
"22",1988,"1610612754",1,2,2
"23",1986,"1610612765",2,3,27
"26",1991,"1610612750",1,7,7
"28",1989,"1610612750",2,11,38
"29",1994,"1610612764",2,5,32
"30",1991,"1610612756",2,19,46
"32",1994,"1610612744",1,16,16
"35",1993,"1610612742",2,6,33
"36",1987,"1610612744",6,13,127
"37",1993,"1610612766",1,17,17
"38",1987,"1610612738",2,22,45
"41",1990,"1610612758",1,23,23
"42",1994,"1610612752",1,24,24
"43",1993,"1610612759",2,20,47
"45",1989,"1610612754",1,7,7
"46",1993,"1610612758",2,25,52
"47",1985,"1610612754",1,2,2
"49",1993,"1610612764",2,3,30
"51",1990,"1610612743",1,3,3
"52",1988,"1610612765",2,23,48
"53",1985,"1610612749",7,21,160
"54",1994,"1610612741",1,21,21
"56",1990,"1610612760",1,2,2
"57",1992,"1610612760",1,17,17
"61",1990,"1610612748",2,3,30
"63",1994,"1610612758",2,8,35
"64",1984,"1610612742",1,4,4
"65",1994,"1610612746",1,25,25
"67",1989,"1610612764",1,9,9
"70",1988,"1610612756",2,25,50
"71",1989,"1610612750",1,10,10
"72",1991,"1610612751",1,2,2
"73",1985,"1610612739",2,21,45
"76",1990,"1610612756",2,21,48
"77",1991,"1610612765",2,13,40
"78",1982,"1610612758",1,5,5
"80",1987,"1610612746",1,19,19
"81",1988,"1610612749",1,13,13
"82",1985,"1610612742",1,16,16
"84",1992,"1610612744",1,24,24
"85",1992,"1610612764",2,5,32
"87",1991,"1610612743",1,4,4
"88",1990,"1610612766",2,12,39
"89",1993,"1610612747",2,10,37
"93",1992,"1610612752",1,20,20
"95",1988,"1610612757",1,21,21
"96",1985,"1610612742",1,8,8
"97",1987,"1610612743",5,8,100
"98",1989,"1610612753",1,11,11
"101",1986,"1610612749",1,22,22
"103",1992,"1610612749",1,8,8
"104",1985,"1610612746",1,3,3
"105",1988,"1610612756",1,14,14
"107",1983,"1610612742",1,9,9
"109",1992,"1610612745",1,11,11
"111",1992,"1610612743",1,5,5
"112",1994,"1610612760",2,10,37
"114",1992,"1610612748",1,12,12
"117",1983,"1610612764",1,10,10
"120",1991,"1610612748",1,5,5
"121",1985,"1610612752",1,1,1
"122",1982,"1610612749",2,4,27
"124",1989,"1610612747",1,26,26
"129",1989,"1610612738",2,13,40
"132",1994,"1610612744",2,18,45
"134",1987,"1610612739",1,7,7
"136",1992,"1610612751",2,2,29
"137",1988,"1610612743",2,22,47
"138",1991,"1610612737",1,15,15
"140",1987,"1610612739",3,6,52
"143",1993,"1610612746",1,13,13
"145",1992,"1610612759",1,18,18
"146",1990,"1610612760",2,11,38
"147",1994,"1610612743",1,13,13
"149",1985,"1610612758",3,19,66
"156",1983,"1610612765",1,8,8
"157",1983,"1610612742",1,11,11
"165",1984,"1610612745",1,1,1
"166",1986,"1610612739",1,8,8
"168",1993,"1610612739",1,22,22
"170",1985,"1610612758",1,6,6
"174",1985,"1610612737",4,14,84
"175",1981,"1610612749",1,21,21
"177",1987,"1610612764",1,12,12
"178",1987,"1610612741",1,8,8
"179",1992,"1610612743",1,13,13
"181",1987,"1610612758",1,6,6
"182",1991,"1610612758",1,3,3
"183",1991,"1610612753",1,10,10
"184",1991,"1610612749",2,18,45
"185",1993,"1610612753",1,1,1
"187",1982,"1610612746",1,2,2
"189",1994,"1610612755",1,20,20
"190",1990,"1610612758",1,18,18
"192",1990,"1610612753",1,4,4
"193",1988,"1610612757",3,3,53
"194",1986,"1610612745",3,19,66
"195",1992,"1610612749",1,23,23
"197",1993,"1610612766",1,20,20
"198",1989,"1610612746",1,2,2
"199",1987,"1610612746",1,4,4
"201",1987,"1610612739",4,6,75
"202",1988,"1610612760",1,15,15
"203",1986,"1610612760",2,6,30
"204",1986,"1610612756",2,22,46
"208",1993,"1610612745",1,24,24
"209",1986,"1610612762",1,15,15
"210",1991,"1610612739",1,11,11
"211",1994,"1610612749",1,18,18
"212",1994,"1610612751",1,14,14
"213",1990,"1610612754",2,18,45
"216",1988,"1610612738",1,24,24
"219",1988,"1610612758",2,4,29
"221",1992,"1610612755",1,9,9
"223",1994,"1610612759",1,22,22
"224",1994,"1610612747",1,10,10
"226",1994,"1610612756",2,2,29
"228",1992,"1610612737",1,10,10
"229",1977,"1610612747",3,2,46
"234",1994,"1610612748",1,12,12
"236",1988,"1610612748",1,20,20
"238",1990,"1610612744",1,11,11
"240",1994,"1610612753",1,27,27
"241",1994,"1610612766",2,11,38
"243",1994,"1610612757",1,17,17
"244",1990,"1610612738",1,19,19
"246",1987,"1610612759",1,23,23
"247",1985,"1610612765",1,18,18
"248",1993,"1610612747",1,12,12
"251",1989,"1610612759",1,3,3
"252",1985,"1610612762",1,13,13
"255",1994,"1610612765",1,3,3
"258",1994,"1610612758",1,8,8
"262",1984,"1610612746",1,14,14
"265",1988,"1610612764",1,12,12
"270",1987,"1610612741",1,10,10
"271",1986,"1610612739",2,5,29
"275",1993,"1610612765",1,11,11
"278",1991,"1610612737",1,9,9
"279",1979,"1610612756",8,18,165
"280",1990,"1610612750",1,6,6
"283",1993,"1610612765",1,10,10
"285",1989,"1610612756",2,25,52
"287",1988,"1610612762",1,17,17
"288",1987,"1610612756",1,2,2
"289",1988,"1610612764",2,11,36
"291",1985,"1610612756",1,10,10
"292",1994,"1610612744",2,12,39
"293",1988,"1610612755",1,3,3
"296",1991,"1610612738",1,24,24
"297",1992,"1610612766",1,2,2
"299",1994,"1610612749",1,1,1
"302",1989,"1610612751",1,12,12
"304",1984,"1610612762",1,16,16
"305",1976,"1610612744",1,8,8
"306",1984,"1610612757",2,9,33
"308",1994,"1610612755",2,6,33
"310",1993,"1610612758",1,7,7
"313",1984,"1610612754",1,18,18
"316",1993,"1610612737",2,13,40
"320",1994,"1610612762",2,20,47
"321",1993,"1610612754",1,14,14
"323",1990,"1610612764",2,8,35
"324",1992,"1610612747",1,15,15
"328",1980,"1610612764",2,12,35
"330",1988,"1610612746",1,1,1
"333",1987,"1610612757",3,17,63
"335",1988,"1610612759",1,10,10
